value,weight
2290,2872
29,52
18,22
12,12
8,38
34,42
12,65
33,47
6,17
45,96
50,89
36,56
22,33
2,64
69,85
25,37
29,54
5,10
24,48
12,21
39,54
4,16
67,76
5,13
80,99
4,12
9,13
63,69
47,65
9,48
15,93
59,69
73,91
50,50
17,61
20,35
8,44
26,89
26,70
36,36
8,53
16,46
20,28
37,46
72,98
1,26
53,92
32,70
18,22
26,40
16,99
14,97
6,48
19,70
60,93
27,44
50,72
5,9
55,74
30,40
7,23
25,70
4,11
34,34
30,33
11,34
71,87
8,15
6,35
69,82
9,16
38,55
83,93
3,46
11,58
59,65
57,66
4,12
71,100
88,89
20,36
28,64
21,25
81,88
21,85
26,42
8,18
73,95
75,94
50,62
9,19
17,26
12,15
1,5
37,37
29,94
72,80
49,83
15,16
1,7
12,18
