value,weight
2184,2836
4,9
2,7
3,31
13,89
3,8
25,95
13,55
12,21
17,51
5,8
7,19
36,45
21,34
55,91
21,25
67,98
9,20
61,62
55,95
68,70
83,96
13,97
76,96
27,86
29,49
81,88
3,33
4,93
37,68
26,44
19,23
63,66
18,72
5,12
49,70
20,27
31,33
27,60
1,11
3,97
37,73
13,52
3,13
15,100
12,15
24,28
12,64
4,13
2,8
5,59
5,12
14,52
23,37
49,65
11,14
22,64
26,38
16,59
12,17
41,44
2,7
25,32
63,67
4,33
17,74
16,49
32,82
43,76
8,91
93,98
13,13
87,90
58,83
12,47
11,39
3,22
9,14
50,70
22,56
76,95
12,16
25,75
5,15
56,81
16,29
78,83
18,45
22,63
5,5
60,65
36,48
60,89
12,85
28,34
40,48
29,54
4,8
15,26
15,31
87,87
