value,weight
3046,2957
72,67
36,39
65,61
17,19
37,35
28,28
92,89
21,22
52,51
61,67
73,67
22,25
39,38
60,61
29,28
37,38
67,69
36,40
22,23
99,99
20,22
12,14
66,68
60,63
103,95
89,82
19,20
89,90
21,22
73,71
78,86
97,99
82,76
8,9
76,85
64,59
25,28
76,76
9,9
65,64
33,35
31,29
97,94
30,32
33,33
105,98
84,82
52,53
43,43
87,86
11,12
69,70
69,75
23,22
48,45
93,98
14,14
38,36
22,22
54,57
28,30
37,34
89,95
60,64
85,83
8,8
8,8
28,30
22,25
17,16
39,40
31,29
36,38
76,71
38,40
87,82
29,28
41,43
38,40
17,17
76,74
70,75
20,21
7,7
49,54
93,89
28,27
12,14
22,24
86,87
67,65
69,74
40,45
16,17
27,28
62,64
7,8
59,65
53,59
84,90
