value,weight
20528,2703
227,95
26,5
264,35
40,74
297,37
62,29
451,33
190,92
428,50
132,54
253,20
353,70
492,79
285,28
458,39
325,52
189,44
99,77
367,42
374,16
114,9
142,40
424,95
179,45
416,22
493,43
168,75
434,14
118,42
286,5
101,80
361,83
323,7
45,57
253,57
122,39
488,67
206,23
187,95
421,85
266,33
88,77
199,29
307,37
362,23
303,50
328,90
339,51
291,69
73,45
261,23
415,93
167,88
203,10
393,43
106,70
209,15
275,51
154,80
136,24
100,38
155,17
273,31
70,25
102,20
469,5
414,19
321,93
275,85
285,100
131,14
53,76
268,51
329,41
299,79
194,81
242,15
497,29
91,76
387,84
101,71
270,57
53,100
312,85
220,11
328,85
271,32
395,72
152,21
305,76
433,84
78,33
130,87
460,6
190,43
26,32
313,34
266,46
440,72
154,99
