value,weight
2906,2828
34,34
21,21
38,41
96,92
6,6
20,19
94,100
31,32
50,55
24,22
34,34
91,94
87,88
102,95
86,84
30,32
59,58
87,94
6,7
60,66
32,33
56,52
60,60
77,72
42,47
40,37
77,79
48,45
38,41
8,8
72,71
21,20
9,10
33,33
6,7
23,22
50,54
23,23
91,98
30,29
88,93
6,6
76,72
74,79
76,70
83,82
55,58
77,78
44,48
68,70
68,68
95,98
31,29
87,82
6,6
50,52
40,38
13,12
24,24
76,70
34,34
4,5
98,94
11,11
51,54
76,78
25,27
18,18
42,46
12,12
43,48
85,87
80,87
38,41
62,67
34,32
14,15
55,59
39,39
38,37
41,40
75,73
4,5
47,46
8,8
43,41
97,96
36,38
72,75
50,51
7,8
76,81
58,54
45,42
90,98
9,10
25,24
99,97
36,38
36,34
