value,weight
21777,3232
398,43
98,26
46,58
348,94
445,66
115,71
188,43
364,55
20,61
85,24
127,13
403,88
477,15
366,90
431,46
457,83
212,93
266,19
297,93
411,87
258,71
35,42
153,98
230,6
307,49
298,76
47,40
104,75
165,96
269,68
14,82
260,92
306,55
159,81
77,5
375,69
391,37
62,70
428,85
422,43
467,87
337,58
177,87
168,45
74,49
441,13
13,47
386,64
475,66
424,15
328,30
37,58
331,100
416,44
55,97
477,72
125,97
253,73
205,51
288,82
234,18
434,42
497,16
71,95
408,71
126,78
449,11
163,10
483,96
265,65
335,84
336,11
164,53
10,88
42,85
484,36
421,94
354,52
219,45
230,100
181,17
197,11
285,41
24,75
367,98
149,12
385,40
349,11
407,67
317,47
120,53
25,59
227,47
228,10
198,44
22,46
80,47
328,71
475,87
43,82
